support,itemsets,length
0.3157894736842105,frozenset({'BISCUIT'}),1
0.21052631578947367,frozenset({'BOURNVITA'}),1
0.631578947368421,frozenset({'BREAD'}),1
0.15789473684210525,frozenset({'COCK'}),1
0.42105263157894735,frozenset({'COFFEE'}),1
0.3157894736842105,frozenset({'CORNFLAKES'}),1
0.10526315789473684,frozenset({'JAM'}),1
0.2631578947368421,frozenset({'MAGGI'}),1
0.21052631578947367,frozenset({'MILK'}),1
0.3157894736842105,frozenset({'SUGER'}),1
0.3684210526315789,frozenset({'TEA'}),1
0.15789473684210525,"frozenset({'BREAD', 'BISCUIT'})",2
0.10526315789473684,"frozenset({'COCK', 'BISCUIT'})",2
0.10526315789473684,"frozenset({'COFFEE', 'BISCUIT'})",2
0.15789473684210525,"frozenset({'BISCUIT', 'CORNFLAKES'})",2
0.10526315789473684,"frozenset({'BISCUIT', 'MAGGI'})",2
0.05263157894736842,"frozenset({'BISCUIT', 'MILK'})",2
0.05263157894736842,"frozenset({'BISCUIT', 'SUGER'})",2
0.10526315789473684,"frozenset({'BISCUIT', 'TEA'})",2
0.15789473684210525,"frozenset({'BREAD', 'BOURNVITA'})",2
0.05263157894736842,"frozenset({'COFFEE', 'BOURNVITA'})",2
0.10526315789473684,"frozenset({'SUGER', 'BOURNVITA'})",2
0.10526315789473684,"frozenset({'TEA', 'BOURNVITA'})",2
0.05263157894736842,"frozenset({'BREAD', 'COCK'})",2
0.15789473684210525,"frozenset({'BREAD', 'COFFEE'})",2
0.05263157894736842,"frozenset({'BREAD', 'CORNFLAKES'})",2
0.10526315789473684,"frozenset({'BREAD', 'JAM'})",2
0.15789473684210525,"frozenset({'BREAD', 'MAGGI'})",2
0.15789473684210525,"frozenset({'BREAD', 'MILK'})",2
0.21052631578947367,"frozenset({'BREAD', 'SUGER'})",2
0.21052631578947367,"frozenset({'BREAD', 'TEA'})",2
0.15789473684210525,"frozenset({'COFFEE', 'COCK'})",2
0.10526315789473684,"frozenset({'COCK', 'CORNFLAKES'})",2
0.21052631578947367,"frozenset({'COFFEE', 'CORNFLAKES'})",2
0.05263157894736842,"frozenset({'COFFEE', 'MILK'})",2
0.21052631578947367,"frozenset({'COFFEE', 'SUGER'})",2
0.05263157894736842,"frozenset({'COFFEE', 'TEA'})",2
0.05263157894736842,"frozenset({'MAGGI', 'CORNFLAKES'})",2
0.10526315789473684,"frozenset({'MILK', 'CORNFLAKES'})",2
0.05263157894736842,"frozenset({'SUGER', 'CORNFLAKES'})",2
0.10526315789473684,"frozenset({'TEA', 'CORNFLAKES'})",2
0.10526315789473684,"frozenset({'MAGGI', 'JAM'})",2
0.05263157894736842,"frozenset({'JAM', 'MILK'})",2
0.05263157894736842,"frozenset({'TEA', 'JAM'})",2
0.05263157894736842,"frozenset({'MAGGI', 'MILK'})",2
0.21052631578947367,"frozenset({'TEA', 'MAGGI'})",2
0.05263157894736842,"frozenset({'TEA', 'MILK'})",2
0.05263157894736842,"frozenset({'BREAD', 'BISCUIT', 'CORNFLAKES'})",3
0.05263157894736842,"frozenset({'BREAD', 'BISCUIT', 'MAGGI'})",3
0.05263157894736842,"frozenset({'BREAD', 'BISCUIT', 'MILK'})",3
0.05263157894736842,"frozenset({'BREAD', 'BISCUIT', 'SUGER'})",3
0.05263157894736842,"frozenset({'BREAD', 'BISCUIT', 'TEA'})",3
0.10526315789473684,"frozenset({'COFFEE', 'COCK', 'BISCUIT'})",3
0.10526315789473684,"frozenset({'COCK', 'BISCUIT', 'CORNFLAKES'})",3
0.10526315789473684,"frozenset({'COFFEE', 'BISCUIT', 'CORNFLAKES'})",3
0.05263157894736842,"frozenset({'BISCUIT', 'MILK', 'CORNFLAKES'})",3
0.10526315789473684,"frozenset({'BISCUIT', 'MAGGI', 'TEA'})",3
0.05263157894736842,"frozenset({'BREAD', 'SUGER', 'BOURNVITA'})",3
0.10526315789473684,"frozenset({'BREAD', 'TEA', 'BOURNVITA'})",3
0.05263157894736842,"frozenset({'COFFEE', 'SUGER', 'BOURNVITA'})",3
0.05263157894736842,"frozenset({'BREAD', 'COCK', 'COFFEE'})",3
0.10526315789473684,"frozenset({'BREAD', 'COFFEE', 'SUGER'})",3
0.05263157894736842,"frozenset({'BREAD', 'MILK', 'CORNFLAKES'})",3
0.10526315789473684,"frozenset({'BREAD', 'MAGGI', 'JAM'})",3
0.05263157894736842,"frozenset({'BREAD', 'JAM', 'MILK'})",3
0.05263157894736842,"frozenset({'BREAD', 'TEA', 'JAM'})",3
0.05263157894736842,"frozenset({'BREAD', 'MAGGI', 'MILK'})",3
0.10526315789473684,"frozenset({'BREAD', 'TEA', 'MAGGI'})",3
0.10526315789473684,"frozenset({'COFFEE', 'COCK', 'CORNFLAKES'})",3
0.05263157894736842,"frozenset({'COFFEE', 'MILK', 'CORNFLAKES'})",3
0.05263157894736842,"frozenset({'COFFEE', 'SUGER', 'CORNFLAKES'})",3
0.05263157894736842,"frozenset({'COFFEE', 'TEA', 'CORNFLAKES'})",3
0.05263157894736842,"frozenset({'COFFEE', 'TEA', 'MILK'})",3
0.05263157894736842,"frozenset({'TEA', 'MAGGI', 'CORNFLAKES'})",3
0.05263157894736842,"frozenset({'TEA', 'MILK', 'CORNFLAKES'})",3
0.05263157894736842,"frozenset({'JAM', 'MAGGI', 'MILK'})",3
0.05263157894736842,"frozenset({'TEA', 'MAGGI', 'JAM'})",3
0.05263157894736842,"frozenset({'BREAD', 'BISCUIT', 'MILK', 'CORNFLAKES'})",4
0.05263157894736842,"frozenset({'BREAD', 'BISCUIT', 'MAGGI', 'TEA'})",4
0.10526315789473684,"frozenset({'COFFEE', 'COCK', 'BISCUIT', 'CORNFLAKES'})",4
0.05263157894736842,"frozenset({'BREAD', 'JAM', 'MAGGI', 'MILK'})",4
0.05263157894736842,"frozenset({'BREAD', 'TEA', 'MAGGI', 'JAM'})",4
0.05263157894736842,"frozenset({'COFFEE', 'TEA', 'MILK', 'CORNFLAKES'})",4
